,dr_id,question_1,question_2,label,question_1_processed,question_2_processed,len_question_1,len_question_2,text_len_question_1,text_len_question_2,rus_question_1,rus_question_2
0,1,After how many hour from drinking an antibiotic can I drink alcohol?,I have a party tonight and I took my last dose of Azithromycin this morning. Can I have a few drinks?,1,many hour drink antibiotic drink alcohol,party tonight take last dose azithromycin morning drink,68,101,40,55,"После того, как я выпью антибиотик, я смогу выпить спиртное?","У меня сегодня вечеринка, и я принял последнюю дозу азитромицина этим утром."
1,1,After how many hour from drinking an antibiotic can I drink alcohol?,I vomited this morning and I am not sure if it is the side effect of my antibiotic or the alcohol I took last night...,0,many hour drink antibiotic drink alcohol,vomit morning sure side effect antibiotic alcohol take last night,68,118,40,65,"После того, как я выпью антибиотик, я смогу выпить спиртное?","Меня вырвало этим утром, и я не уверен, что это побочный эффект моего антибиотика или алкоголя, который я выпил вчера вечером..."
2,1,Am I over weight (192.9) for my age (39)?,I am a 39 y/o male currently weighing about 193 lbs. Do you think I am overweight?,1,weight 192 9 age 39,39 male currently weigh 193 lbs think overweight,41,82,19,48,"Я уже больше веса (192,9) для моего возраста (39)?","У меня 39 й/он весит около 193 фунтов. Думаешь, у меня избыточный вес?"
3,1,Am I over weight (192.9) for my age (39)?,What diet is good for losing weight? Keto or vegan?,0,weight 192 9 age 39,diet good losing weight keto vegan,41,51,19,34,"Я уже больше веса (192,9) для моего возраста (39)?",Какая диета хороша для снижения веса?
4,1,Aspirin allergy - is it worth getting a bracelet?,How much Aspirin can I take for my headache without causing any side effects?,0,aspirin allergy - worth get bracelet,much aspirin take headache without cause side effect,49,77,36,52,Аллергия на аспирин - стоит ли заполучить браслет?,"Сколько аспирина я могу взять от головной боли, не вызывая никаких побочных эффектов?"
5,1,Aspirin allergy - is it worth getting a bracelet?,My friend told me about this bracelet for Aspirin allergy. Does it work the way they say it does?,1,aspirin allergy - worth get bracelet,friend tell bracelet aspirin allergy work way say,49,97,36,49,Аллергия на аспирин - стоит ли заполучить браслет?,Мой друг рассказал мне об этом браслете для аллергии на аспирин.
6,1,"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?",Is it okay if I use the same syringe for my insulin shot? I need to take it thrice a day.,0,doctor visit hit head box wall contain hazardous material use syrinx use needle get infect,okay use syringe insulin shoot need take thrice day,146,89,90,51,"Во время посещения врача я ударился головой о ящик на стене, содержащий опасные материалы (используемые шприцы, использованные иглы...).","Ничего, если я использую один и тот же шприц для инсулина?"
7,1,"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?","Today morning, I had an appointment with the doctor. After that, I saw the nurse for a shot. As I got up, her box of tools fell all over me. She sent me home saying all is okay. But I am worried about an infection. Should I schedule another appointment for any blood tests?",1,doctor visit hit head box wall contain hazardous material use syrinx use needle get infect,today morning appointment doctor saw nurse shot get box tool fell send home say okay worried infection schedule another appointment blood test,146,273,90,142,"Во время посещения врача я ударился головой о ящик на стене, содержащий опасные материалы (используемые шприцы, использованные иглы...).","Сегодня утром у меня была встреча с врачом, после этого я увидел медсестру, чтобы сделать укол, когда я встал, на меня упала ее коробка инструментов, она отправила меня домой, говоря, что все в порядке, но я беспокоюсь о инфекции, мне назначить еще одну встречу для анализа крови?"
8,1,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,"I am unable to get tooth extraction, my dentist is unable to give me anesthesia. Wouldn't antibiotics help with this since it has been going on for about 4-5 weeks? Should I go to ER?",1,antibiotic 4 top high tooth dentist cld get needle 2 freeze 2 extract gum really hurt say tissue hve 2 go bk plz,unable get tooth extraction dentist unable give anesthesia antibiotic help since go 4-5 week go,148,183,112,95,"Был на антибиотиках 4 5 вк сверху зубного зубного дантиста не получил иглу 2 замороженная 2 экстракт в жвачку действительно больно она сказала, что это ткани хв 2 вк?","Я не в состоянии вытащить зубы, мой дантист не может дать мне анестезию."
9,1,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,Why do I have black teeth? Should I take antibiotics? Is this an infection?,0,antibiotic 4 top high tooth dentist cld get needle 2 freeze 2 extract gum really hurt say tissue hve 2 go bk plz,black teeth take antibiotic infection,148,75,112,37,"Был на антибиотиках 4 5 вк сверху зубного зубного дантиста не получил иглу 2 замороженная 2 экстракт в жвачку действительно больно она сказала, что это ткани хв 2 вк?",Почему у меня черные зубы?
